!SIL	SIL
%	P AH R S EY N T
60	S AA T HH
60	S IH K S T IY
61	EY K S AH T HH
61	IH K S AH T HH
61	S IH K S T IY W AH N
62	B AA S AH T HH
62	S IH K S T IY T UW
63	S IH K S T IY TH R IY
63	TH IH R S AH T HH
63	TH R EY S AH T HH
64	CH AO S AH T HH
64	S IH K S T IY F OW R
65	P EY S AH T HH
65	S IH K S T IY F AY V
65	S IH K S T IY F AY W
66	CH HH IH Y AA S AH T HH
66	S IH K S T IY S IH K S
67	S AH D S AH T HH
67	S IH K S T IY S EH V EH N
67	S IH K S T IY S EH W EH N
68	AH D S AH T HH
68	S IH K S T IY EY T
69	S IH K S T IY N AY N
69	UH N HH AH TH TH AH R
7	S AA TH
7	S EH W EH N
70	S AH TH TH AH R
70	S EH V EH N T IY
70	S EH W EH N T IY
7044	S EH V AH N Z IY R OW F OW R F OW R
71	IH K EY HH AH TH TH AH R
71	IH K HH AH TH TH AH R
71	S EH V EH N T IY W AH N
71	S EH W EH N T IY W AH N
72	B AA HH AH TH TH AH R
72	B AH HH AH TH TH AH R
72	S EH V EH N T IY T UW
72	S EH W EH N T IY T UW
73	S EH V EH N T IY TH R IY
73	S EH W EH N T IY TH R IY
73	TH IH HH AH TH TH AH R
74	CH AO HH AH TH TH AH R
74	S EH V EH N T IY F OW R
74	S EH W EH N T IY F OW R
75	P AH CH HH AH TH TH AH R
75	S EH V EH N T IY F AY V
75	S EH W EH N T IY F AY W
76	CH HH IH HH AH TH TH AH R
76	CH HH IH N TH AH R
76	S EH V EH N T IY S IH K S
76	S EH W EH N T IY S IH K S
77	S AH TH HH AH TH TH AH R
77	S EH V EH N T IY S EH V EH N
77	S EH W EH N T IY S EH W EH N
78	AH T HH HH AH TH TH AH R
78	S EH V EH N T IY EY T
78	S EH W EH N T IY EY T
79	G UH N Y AA S IY
79	S EH V EH N T IY N AY N
79	S EH W EH N T IY N AY N
79	UH N AA S IY
79	UH N Y AA S IY
8	AA T HH
8	EY T
80	AH S S IY
80	EY T IY
8080	EY T Z IY R OW EY T Z IY R OW
81	EY T IY V AH N
81	EY T IY W AH N
81	IH K Y AA S IY
82	B AH Y AA S IY
82	EY T IY T UW
83	EY T IY TH R IY
83	TH IH R AA S IY
83	TH IH Y AA S IY
84	CH AO R AA S IY
84	EY T IY F OW R
85	EY T IY F AY V
85	EY T IY F AY W
85	P AH CH AA S IY
86	CH HH IH Y AA S IY
86	EY T IY S IH K S
87	EY T IY S EH W EH N
87	S AH TH AA S IY
87	S AH TH Y AA S IY
88	AH T HH AA S IY
88	EY T IY EY T
89	EY T IY N AY N
89	N AH W AA S IY
9	N AH W
9	N AO
9	N AY N
90	N AH B B EY
90	N AY N T IY
91	IH K R AA N W EY
91	IH K Y AA N B EY
91	IH K Y AA N W EY
91	N AY N T IY W AH N
92	B AA N W EY
92	N AY N T IY T UW
93	N AY N T IY TH R IY
93	TH IH R AA N W EY
94	CH AO R AA N W EY
94	N AY N T IY F OW R
95	N AY N T IY F AY V
95	N AY N T IY F AY W
95	P AH CH AA N W EY
96	CH HH IH Y AA N W EY
96	N AY N T IY S IH K S
97	N AY N T IY S EH V EH N
97	N AY N T IY S EH W EH N
97	S AH TH TH AA N W EY
98	AH T T HH AA N W EY
98	N AY N T IY EY T
99	N AY N T IY N AY N
99	N IH N Y AA N W EY
9:15	N AY N F IH F T IY N
9:15	S AH W AA N AO
9:20	N AY N T W EY N T IY
9:30	N AY N TH AH R T IY
9:30	S AA D HH EY N AO
9:40	N AY N F AO T T IY
9:40	N AY N F OW R T IY
9:45	N AY N F AO T T IY F AY W
9:45	N AY N F OW R T IY F AY W
9:45	P AO N EY DH AH S
<unk>	SIL
A	EY
B	B IY
BR	SIL
Bcom	B EY K AO M
C	S IY
D	D IY
E	IY
F	EH F
FP	SIL
G	JH IY
H	EH CH
HS	SIL
I	AY
IR	SIL
J	JH EY
K	K EY
L	EH L
M	EH M
MB	SIL
N	EH N
O	OW
ON	SIL
P	P IY
Q	K Y UW
R	AA R
S	EH S
S	EY S
SIL	SIL
T	T IY
U	Y UH
V	W IY
W	DH AH B L UH
WH	SIL
X	EH K S
Y	W AY
Z	Z EH D
`for	F AO R
a	AH
a	EY
ab	AH B
ability	AE B IH L IH T IY
able	EY B AH L
abound	AH B AW N D
abounded	AH B AW N D EH D
about	AH B AW T
above	AH B AW
abroad	AH B R AO D
absence	AE B S EH N S
absent	AE B S AH N T
absolute	AE B S AH L UW T
absolutely	AE B S AH L UW T L IH
absorb	AH B Z AO R B
absorbed	AH B Z AO R B D
academy	AH K AE D AH M IY
accept	AE K S EH P T
acceptance	AE K S EH P T AH N S
accepted	AE K S EH P T EH D
accepting	AE K S EH P T IH N G
accident	AE K S IH D EH N T
accidentally	AE K S IH D EH N T AH L IY
accidents	AE K S IH D EH N T S
accordance	AH K AO R D AH N S
according	AH K AO R D IH N G
account	AH K AW N T
accounts	AH K AW N T S
accurate	AE K Y UH R EY T
acquire	AE K W AY R
acquire	AH K W AY AH R
acquire	AH K W AY R
across	AH K R AO S
act	AE K T
acting	AE K T IH N G
action	AE K SH AH N
actions	AE K SH AH N S
actions	AE K SH AH N Z
active	AE K T IH W
actively	AE K T IH W L IY
actor	AE K T AH R
actress	AE K T R EH S
actual	AE K CH AH W AH L
actual	AE K SH AH L
actually	AE K CH UH L IY
ad	AE D
add	AE D
added	AE D EH D
adding	AE D IH N G
adding	AE D IH NG
addition	AH D IH SH AH N
adjust	AH JH AH S T
admitted	AE D M IH T EH D
adopting	AH D AO P T IH NG
adorable	AH D AO R EH B AH L
adorable	AH D OW R EH B AH L
adult	AH D AH L T
adults	AH D AH L T S
advance	AE DH W AA N S
adventure	AE D W EH N CH AH R
advertise	AE D W AH R T AY Z
advertisement	AE D W AH R T AY Z M EH N T
advertisements	AE D W AH R T AY Z M EH N T S
advice	AE D W AY S
advice	AE D W HH AA IH S
advice	AE D W HH AA IH Z D
advice	AH D W AY S
advised	AE D W AY Z D
advised	AH D W AY Z D
affected	AH F EH K T EH D
affection	AH F EH K SH AH N
affective	AH F EH K T IH W
afford	AE F OW R D
afford	AH F OW R D
afraid	AH F R EY D
africa	AE F R IH K AA
african	AE F R IY K AH N
after	AA F T AH R
afternoon	AA F T AH N UW N
afternoon	AA F T AH R N UW N
again	AH G EY N
against	AH G EY N S T
age	EY JH
agent	EY JH AH N T
agent's	EY JH AH N T S
ago	AE G OW
ago	AH G OW
agree	AH G R IY
agreed	AE G R IY D
agreed	AH G R IY D
agreeing	AH G R IY IH NG
agreement	AH G R IY M EH N T
agrees	AH G R IY Z
aha	AH HH AA
ahead	AH HH EH D
ahem	AH HH EH M
aid	EY D
ailment	EH L M EY N T
air	EY AH R
airs	EY AH R S
aks	AA K S
aksed	AA K S D
alabama	AH L AA B AA M AA
alarm	AH L AA R M
alas	AH L AA S
album	AE L B AH M
alert	AH L AH R T
alice	AE L IH S
alice	AH L AY S
alike	AH L AY K
alisha	AA L IY SH AH
alive	AH L AY V
all	AO L
allah	AH L L AA HH
alligator	AE L AH G EY T AH R
alligators	AE L IH G EY T AH R S
alligators	AE L IH G EY T AH R Z
allow	AH L AW
allowed	AH L AW D
almas	AE L M AH Z
almas	AH L M AH S
almas's	AE L M AH S EH S
almas's	AE L M AH Z IH Z
almost	AO L M OW S T
alone	AH L OW N
along	AH L AO N G
aloud	AH L AW D
already	AO L R EH D IY
alright	AO L R AY T
also	AO L S OW
alter	AH L T AH R
alter	AO L T AH R
although	AO L DH OW
altitude	AE L T IH T Y UW D
altitude	AH L T IH T Y UW D
always	AO L W EH Z
am	AE M
amassing	AH M AE S IH NG
amaze	AH M EY Z
amazed	AH M EY Z D
amazement	AH M EY Z M EH N T
amazing	AH M EY Z IH N G
ambition	AE M B IH SH AH N
america	AH M EH R IH K AH
amit	AH M IH TH
amma	AH M M AA
among	AH M AH NG
amongst	AH M AH NG S T
amongst	AH M AO NG S T
amount	AH M AW N T
amply	AE M P L IY
amsterdam	AE M S T AH R D AE M
amuse	AH M Y UW Z
amusing	AH M Y UW Z IH NG
an	AE N
ancient	AE N SH IY AH N T
ancient	EH N SH IY AH N T
and	AE N D
ang	AE N G
angels	EY N JH AH L Z
anger	AE N G AH R
angle	AE N G AH L
angles	AE NG G AH L Z
angrier	AE N G R IY AH R
angrily	AE N G R IH L IY
angry	AE N G R IY
animal	AE N IH M AH L
animals	AE N IH M AH L S
animals	AE N IH M AH L Z
animate	AE N AH M AH T
animate	AE N AH M EY T
animated	AE N IH M EY T EH D
anna	AA N AA
anna	AE N AA
anna	AH N AA
anne	AE N
anne	AE N EY
anne	AE N IY
annie	AE N IY
announced	AH N AW N S D
annoy	AH N OY
annoyed	AH N OY D
annoying	AH N OY IH N G
annual	AE N Y UH AH L
another	AH N AH DH AH R
answer	AA N S AH R
answered	AA N S AH R D
answers	AA N S AH R Z
answers	AE N S AH R S
answers	AE N S AH R Z
ant	AE N T
ants	AE N T S
anxious	AE N K SH IY Y AH S
any	EH N IY
anybody	EH N IY B AH D IY
anyday	EH N IY D EY
anymore	EH N IY M OW R
anyone	EY N IY W AH N
anything	EH N IY TH IH N G
anythings	EH N IY TH IH N G Z
anytime	EH N IY T AY M
anyway	EH N IY W EY
anywhere	EH N IY W HH EY AH R
anywhere	EH N IY W HH EY R
apart	AH P AA R T
apartments	AH P AA R T M EH N T S
apologized	AH P AO L OW JH AY Z D
app	AE P
appeal	AH P IY L
appealing	AH P IY L IH NG
appeals	AH P IY L Z
appear	AH P IH AH R
appeared	AH P IY AH R D
appearing	AH P IH R IH NG
appears	AH P IH AH R S
appears	AH P IH AH R Z
apple	AE P AH L
applied	AH P L AY D
apply	AH P L AY
appoint	AH P OY N T
appointed	AH P OY N T EH D
appointment	AH P OY N T M EH N T
approach	AH P R OW CH
approached	AH P R OW CH D
approve	AH P R UW W
apps	AE P S
are	AA R
area	EH R IY AH
area	EH R IY Y AA
aren't	AA R AH N T
argument	AA R G Y UH M EH N T
arise	AH R AY Z
arjun	AA R JH UH N
arjun	AH R JH UH N
arm	AA R M
arms	AA R M S
army	AA R M IY
around	AH R AW N D
arrange	AH R EY N JH
arranged	AH R EY N JH D
arrangement	AH R EY N JH M EH N T
arranges	AH R EY N JH EH S
arranging	AH R EY N JH IH NG
arrest	AH R EH S T
arrested	AH R EH S T EH D
arrested	AH R EH S T EY D
arrived	AH R AY W D
arrives	AH R AY V Z
arrives	AH R AY W HH Z
arrives	AH R AY W Z
art	AA R T
arun	AH R UH N N
as	AE Z
ascent	AH S EH N T
asha	AA SH AA
asha's	AA SH AA Z
ashamed	AH SH EY M D
ashore	AH SH OW R
asian	EH SH IY AH N
aside	AH S AY D
ask	AA S K
asked	AA S K D
asking	AA S K IH N G
asks	AA S K S
asleep	AH S L IY P
ass	AE S
assistant	AH S IH S T EH N T
assume	AH Z Y UH M
assuming	AH S UW M IH NG
at	AE T
ate	EY T
attached	AH T AE CH D
attack	AH T AE K
attacked	AH T AE K D
attacking	AH T AE K IH N G
attain	AH T EY N
attentively	AH T EH N T IH W L IY
attire	AH T AY AH R
attire	AH T AY R
attitude	AE T IH T Y UH D
attitudes	AE T IH T Y UH D S
attract	AH T R AE K T
attracted	AH T R AE K T EH D
attraction	AH T R AE K SH AH N
attractively	AH T R AE K T IH W L IY
auction	AO K SH AH N
auditioned	AO D IH SH AH N D
august	AO G AH S T
aunt	AA N T
aunt	AO N T
aunts	AA N T S
aunts	AO N T S
aunty	AA N T IY
author	AO TH AH R
authors	AO TH AH R S
aux	AO K S
avail	AH V EY L
available	AH W EY L EH B AH L
average	AE V AH R IH JH
average	AE V R IH JH
awake	AH W EY K
awakened	AH W EY K AH N D
awards	AH W AO R D S
awards	AH W AO R D Z
aware	AH W EY R
away	AH W EY
awe	AO
awesome	AO S AH M
awoke	AH W OW K
axe	AE K S
b	B IY
ba	B AH
baa	B AA
baba	B AA B AA
babalu	B AH B L UW
babies	B EY B IY Z
babul	B AA B UH L
babul	B AA B UW L
babul	B AH B UW L
baby	B EY B IY
baby's	B EY B IY Z
back	B AE K
back-skates	B AE K S K EY T S
background	B AE K G R AW N D
backside	B AE K S AY D
backward	B AE K W AH R D
backwards	B AE K W AH R D S
backyard	B AE K Y AA R D
bacteria's	B AE K T IH R IY AH Z
bactrian	B AE K T R IH AH N
bad	B AE D
bade	B EY D
badly	B AE D L IY
bag	B AE G
bahut	B AH HH UH TH
bail	B EY L
bait	B EY T
bake	B EY K
balance	B AE L EH N S
balanced	B AE L EH N S D
ball	B AO L
balloons	B AH L UW N Z
balls	B AO L Z
balsavar	B AH L S AA W AH R
ban	B AE N
banana	B AH N AA N AA
bananas	B AH N AA N AA Z
band	B AE N D
bandage	B AE N D EY JH
bandaged	B AE N D EY JH D
banded	B AE N D EH D
banged	B AE N G D
bangled	B AE N G AH L D
bank	B AE N K
banks	B AE N K S
banquet	B AE N K W EY T
baobab	B AA OW B AA B
bar	B AA R
barber	B AA R B AH R
bare	B EY AH R
bargaining	B AA R G EY N IH N G
barren	B AE R EH N
base	B EY S
baseball	B EY S B AO L
based	B EY S D
basic	B EY S IH K
bask	B AA S K
basket	B AA S K EH T
baskets	B AA S K EH T S
basking	B AA S K IH N G
bat	B AE T
bataiye	B AH TH AA IH Y EY
batch	B AE CH
bath	B AA TH
bathing	B AA TH IH NG
bathing	B EY DH IH NG
bating	B EY T IH NG
batman	B AE T M AE N
bats	B AE T S
batsman	B AE T S M AE N
batsman	B AE T S M AH N
battery	B AE T R IY
battle	B AE T AH L
battles	B AE T AH L Z
batuk	B AH T UH K
bawled	B AO L D
bay	B EY
bb	B
bb-	B
be	B IY
beach	B IY CH
beak	B IY K
beaks	B IY K S
beam	B IY M
bear	B AE R
bear	B IH AH R
bear	B IY AH R
bears	B EH R Z
bears	B EY R Z
bears	B IH AH R S
bears	B IY AH R S
beat	B IY T
beaten	B IY T AH N
beating	B IY T IH N G
beats	B IY T S
beautiful	B Y UW T IH F UH L
beauty	B Y UW T IY
became	B IH K EY M
because	B IH K AO Z
becks	B EH K S
become	B IH K AH M
becomes	B IH K AH M S
becoming	B IH K AH M IH N G
bed	B EH D
bedroom	B EH D R UW M
bee	B IY
been	B IY N
beer	B IY AH R
beers	B IH R Z
beet	B IY T
beetle	B IY T AH L
beetles	B IY T AH L S
beetles	B IY T AH L Z
before	B IH F OW R
beforehand	B IH F OW R HH AE N D
beg	B EY G
began	B IH G AE N
begged	B EH G D
begging	B EH G IH N G
begin	B IH G IH N
beginning	B IH G IH N IH N G
begins	B IH G IH N S
begun	B IH G AH N
behave	B IH HH EY W
behaving	B IH HH EY W IH N G
behavior	B IH HH EY W IY AH R
behaviour	B IH HH EY W IY AH R
behead	B IH HH EH D
behind	B IH HH AY N D
being	B IY N G
beings	B IY N G Z
belays	B IH L EY Z
belief	B IH L IY F
believe	B IH L IY W
believed	B IH L IY W D
believes	B IH L IY V Z
believing	B IH L IY W IH N G
bell	B EH L
bellow	B EH L OW
bellowed	B EH L OW D
bells	B EH L Z
belly	B EH L IY
belong	B IH L AO N G
belonged	B IH L OW N G D
belongs	B IH L AO N G Z
below	B IH L OW
belt	B EH L T
bench	B EH N CH
benches	B EH N CH IH Z
bend	B EH N D
beneath	B IH N IY TH
benevolent	B EH N EH W OW L EH N T
bent	B EH N T
berry	B EH R IY
beside	B IH S AY D
besides	B IH S AY D Z
best	B EH S T
bet	B EH T
betray	B IH T R EY
betrayed	B IH T R EY D
better	B EH T AH R
betters	B EH T AH R Z
between	B IH T W IY N
bey	B EY
beyond	B IH Y AO N D
bhili	B HH IY L IY
bias	B AY AH S
bicycle	B AY S IH K AH L
bid	B IH D
big	B IH G
bigger	B IH G AH R
biggest	B IH G EY S T
bill	B IH L
billing	B IH L IH N G
bills	B IH L S
bin	B IH N
bing	B IH N G
bird	B AH R D
birds	B AH R D S
birds	B AH R D Z
birth	B AH R TH
birthday	B AH R TH D EY
bit	B IH T
bite	B AY T
bits	B IH T S
bitter	B IH T AH R
black	B L AE K
blacking	B L AE K IH NG
blade	B L EY D
blair	B L EH AH R
blair	B L EY R
blame	B L EY M
blank	B L AE NG K
blanked	B L AE NG K T
blanket	B L AE N K EH T
blanket	B L AE N K IH T
blanket	B L AE NG K EH T
blanket	B L AE NG K IH T
bleach	B L IY CH
bleeding	B L IY D IH NG
bless	B L EH S
blessed	B L EH S D
blesses	B L EH S EH S
blessing	B L EH S IH N G
blew	B L UW
blinked	B L IH N K D
blinking	B L IH N K IH N G
block	B L AA K
blonde	B L AO N D
blood	B L AH D
bloods	B L AH D S
bloomed	B L UW M D
blossom	B L AA S AH M
blot	B L AO T
blow	B L OW
blown	B L OW N
blows	B L OW Z
blue	B L UW
blushes	B L AH SH AH Z
blushes	B L AH SH IH Z
bo	B OW
boar	B OW R
board	B OW R D
boards	B OW R D S
boars	B OW R S
boasting	B OW S T IH N G
boat	B OW T
boating	B OW T IH N G
boats	B OW T S
bodies	B AO D IY Z
body	B AO D IY
body	B AO DH IY
boil	B OY L
boiling	B OY L IH N G
bold	B OW L D
bolder	B OW L D AH R
boll	B OW L
bolt	B OW L T
bomb	B AA M
bomb	B AO M
bone	B OW N
boo	B UW
book	B UH K
bookbox	B UH K B AO K S
booked	B UH K D
books	B UW K S
boom	B UW M
boos	B UW Z
boost	B UW S T
boosting	B UW S T IH N G
boot	B UW T
booth	B UW DH
booth	B UW TH
bore	B OW R
boring	B OW R IH N G
born	B AO R N
borrowing	B AO R OW IH N G
bot	B AO T
both	B OW TH
bother	B AO DH AH R
bothered	B AO DH AH R D
bothering	B AO DH AH R IH NG
bottom	B AO T AH M
bought	B AO T
bounced	B AW N S D
bound	B AW N D
bounded	B AW N D AH D
bounded	B AW N D IH D
bouquet	B UH K EY
bout	B AW T
bow	B OW
bowl	B AW L
bowled	B AO L D
bowled	B OW L D
bowls	B AO L Z
bowls	B OW L Z
box	B AO K S
boy	B OY
boy's	B OY Z
boys	B OY Z
br	SIL
bracket	B R AE K IH T
brad	B R AE D
bragging	B R AE G IH N G
brain	B R EY N
brains	B R EY N S
branch	B R AA N CH
branches	B R AA N CH EH S
brand	B R AE N D
brands	B R AE N D S
brands	B R AE N D Z
brash	B R AE SH
braved	B R EY W D
bread	B R EH D
breads	B R EY D S
break	B R EY K
breaking	B R EY K IH N G
breakup	B R EY K AH P
breakups	B R EY K AH P S
breath	B R EH TH
breathing	B R IY DH IH NG
breed	B R IY D
breeds	B R IY D S
breeds	B R IY D Z
brew	B R UW
brey	B R EY
bribes	B R AY B Z
brick	B R IH K
bride	B R AY D
bride's	B R AY D S
bride's	B R AY D Z
brides	B R AY D S
brides	B R AY D Z
brides'	B R AY D S
brides'	B R AY D Z
bridge	B R IH JH
brief	B R IH F
bright	B R AY T
brightened	B R AY T AH N D
brighter	B R AY T AH R
brights	B R AY T S
bring	B R IH N G
bringing	B R IH N G IH N G
brings	B R IH N G Z
broke	B R OW K
broken	B R OW K AH N
bronze	B R AO N Z
brooms	B R UW M S
brooms	B R UW M Z
brother	B R AH DH AH R
brothered	B R AH DH AH R DH
brothers	B R AH DH AH R S
brothers	B R AH DH AH R Z
brought	B R AO T
brown	B R AW N
browns	B R AW N Z
brush	B R AH SH
brushes	B R AH SH EH S
brushes	B R AH SH EY S
brushing	B R AH SH IH NG
bubble	B AH B AH L
bubbles	B AH B AH L S
bubbles	B AH B AH L Z
bubbly	B AH B L IY
bucket	B AH K EH T
buckle	B AH K AH L D
bud	B AH D
buddies	B AH D IY Z
buddy	B AH D IY
budge	B AH JH
bug	B AH G
bugged	B AH G D
buggy	B AH G IY
build	B IH L D
building	B IH L D IH NG
buildings	B IH L D IH NG Z
built	B IH L T
bull	B UH L
bum	B AH M
bun	B AH N
bunch	B AH N CH
bunches	B AH N CH AH Z
bunches	B AH N CH IH Z
bundle	B AH N D AH L
bunty	B AH N T IY
bura	B UH R AA
buried	B AH R IY D
burma	B AH R M AA
burn	B AH R N
burned	B AH R N D
burning	B AH R N IH N G
burns	B AH R N Z
burst	B AH R S T
bursts	B AH R S T S
bus	B AH S
buses	B AH S IH Z
bush	B UH SH
bushes	B UH SH EH S
business	B IH Z N EH S
bust	B AH S T
busy	B IH Z IY
but	B AH T
butter	B AH T AH R
butterflies	B AH T AH R F L AY Z
butterfly	B AH T AH R F L AY
buy	B AA Y
buy	B AY
buys	B AA IH Z
buys	B AY Z
by	B AA EY
by	B AA Y
by	B AY
bye	B AA Y
bye	B AY
bye-bye	B AA Y B AA Y
bye-bye	B AY B AY
c	S IY
cable	K EY B AH L
cage	K EY JH
caged	K EY JH D
cake	K EY K
call	K AO L
called	K AO L D
calling	K AO L IH N G
callings	K AO L IH NG Z
calls	K AO L Z
calm	K AA M
calmly	K AA M L IY
cam	K AE M
came	K EY M
camel	K AE M AH L
camel's	K AE M AH L S
camel's	K AE M AH L Z
camels	K AE M AH L S
camels	K AE M AH L Z
camera	K AE M R AA
camp	K AE M P
can	K AE N
can't	K AA N T
candidates	K AE N D IH D EY T S
candy	K AE N D IY
cane	K EY N
canned	CH AE N D
canned	K AE N D
cannon	K AE N AH N
cannot	K AE N N AO T
cans	K AE N Z
cant	K AA N T
cap	K AE P
cape	K EY P
caps	K AE P S
captured	K AE P CH AH R D
car	K AA R
carbon	K AA R B AH N
carbons	K AA R B AH N Z
card	K AA R D
care	K EY AH R
cared	K EH R D
career	K AH R IY AH R
careful	K EY R F UH L
carefully	K EY AH R F UH L IY
cares	K EH R Z
caring	K AE R IH N G
caring	K EY R IH N G
carmel	K AA R M AH L
carmel	K AA R M EH L
carpenter	K AA R P EY N T AH R
carried	K AE R IY D
carrot	K AE R AH T
carry	K AE R IY
carrying	K AE R IY N G
cars	K AA R S
cart	K AA R T
carted	K AA R T EH D
carve	K AA R W
carver	K AA R W AH R
carver's	K AA R W AH R S
case	K EY S
cases	K EY S AH Z
cases	K EY S IH Z
cash	K AE SH
cast	K AA S T
castle	K AA S AH L
castle	K AE S AH L
castles	K AA S AH L S
castles	K AE S AH L S
cat	K AE T
catch	K AE CH
catched	K AE CH D
catches	K AE CH EH S
catching	K AE CH IH N G
cate	K EY T
cats	K AE T S
cattle	K AE T AH L
caught	K AO T
cause	K AO Z
caused	K AO Z D
causing	K AO Z IH N G
cautioned	K AO SH AH N D
cave	K EY W
cecilia	S IH S IY L IH Y AA
ceiling	S IY L IH N G
ceilings	S IY L IH N G Z
celebrate	S EH L IH B R EY T
cell	S EH L
cement	S IY M EH N T
center	S EY N T AH R
centre	S EY N T AH R
century	S EH N CH UH R IY
century	S EH N CH Y UH R IY
certain	S AH R T EH N
certainly	S AH R T EH N L IY
cessed	S EH S D
chain	CH EY N
chains	CH EY N S
