!SIL	SIL
at	AE T
ate	EY T
attached	AH T AE CH D
attacking	AH T AE K IH NG
attentively	AH T EH N T IH V L IY
attentively	AH T EH N T IH W L IY
attitude	AE T IH T Y UH D
available	AH V EY L EH B AH L
available	AH W EY L EH B AH L
awakened	AH W EY K AH N D
aware	AH W EY R
away	AH W EY
axe	AE K S
babul	B AH B UW L
back	B AE K
backward	B AE K W AH R D
backwards	B AE K W AH R D S
backyard	B AE K Y AA R D
badly	B AE D L IY
bag	B AE G
bait	B EY T
balance	B AE L EH N S
bananas	B AH N AA N AA Z
bandage	B AE N D EY JH
bandaged	B AE N D EY JH D
bank	B AE N K
banks	B AE N K S
banquet	B AE N K W EY T
bar	B AA R
bargaining	B AA R G EY N IH NG
basket	B AA S K EH T
baskets	B AA S K EH T S
basking	B AA S K IH NG
bath	B AA TH
batuk	B AH T UH K
be	B IY
beach	B IY CH
bear	B EY R
bears	B EY R Z
beat	B IY T
beaten	B IY T AH N
beating	B IY T IH NG
beautiful	B Y UW T IH F UH L
became	B IH K EY M
because	B IH K AO Z
become	B IH K AH M
becomes	B IH K AH M S
becoming	B IH K AH M IH NG
been	B IY N
beer	B IY AH R
beers	B IY AH R S
beers	B IY Y AH R S
before	B IH F OW R
beg	B EH G
began	B IH G AE N
begging	B EH G IH NG
begin	B IH G IH N
beginning	B IH G IH N IH NG
behavior	B IH HH EY V IY AH R
behavior	B IH HH EY W IY AH R
behind	B IH HH AY N D
being	B IY NG
believe	B IH L IY V
believe	B IH L IY W
believed	B IH L IY V D
believed	B IH L IY W D
bell	B EH L
belonged	B IH L OW NG D
belongs	B IH L AO NG Z
bend	B EH N D
beneath	B IH N IY TH
benevolent	B EH N EH V OW L EH N T
benevolent	B EH N EH W OW L EH N T
bent	B EH N T
best	B EH S T
bet	B EH T
betray	B IH T R EY
better	B EH T AH R
bicycle	B AY S IH K AH L
big	B IH G
bigger	B IH G AH R
bill	B IH L
bird	B AH R D
birds	B AH R D S
birds	B AH R D Z
biscuits	B IH S K IH T S
bit	B IH T
bite	B AY T
bitter	B IH T AH R
black	B L AE K
blood	B L AH D
blue	B L UW
boasting	B OW S T IH NG
boat	B OW T
boats	B OW T S
bodies	B AO D IY Z
body	B AO D IY
boiling	B OY L IH NG
book	B UH K
boosting	B UW S T IH NG
boring	B OW R IH NG
both	B OW TH
bothered	B AO DH AH R D
bought	B AO T
bowl	B AW L
boy	B OY
boy's	B OY Z
boys	B OY Z
bragging	B R AE G IH NG
bread	B R EH D
break	B R EY K
brilliant	B R IH L IH AH N T
brilliant	B R IH L Y AH N T
bring	B R IH NG
broke	B R OW K
brought	B R AO T
bubble	B AH B AH L
bucket	B AH K EH T
budge	B AH JH
built	B IH L T
bundle	B AH N D AH L
burma	B AH R M AA
burn	B AH R N
burning	B AH R N IH NG
bush	B UH SH
busy	B IH Z IY
but	B AH T
butterflies	B AH T AH R F L AY Z
butterfly	B AH T AH R F L AY
butterfly's	B AH T AH R F L AY Z
buy	B AA Y
buy	B AY
by	B AA Y
by	B AY
cage	K EY JH
cages	K EY JH IH S
call	K AO L
called	K AO L D
calm	K AA M
came	K EY M
camp	K AE M P
can	K AE N
can't	K AA N T
candidates	K AE N D IH D EY T S
cane	K EY N
cannot	K AE N N AO T
cap	K AE P
car	K AA R
care	K EY AH R
care	K EY R
careful	K EY R F UH L
carefully	K EY R F UH L IY
caring	K EY R IH NG
carried	K AE R IY D
carry	K AE R IY
carrying	K AE R IY NG
carver	K AA R V AH R
carver	K AA R W AH R
carver's	K AA R V AH R S
carver's	K AA R W AH R S
cat	K AE T
catch	K AE CH
catching	K AE CH IH NG
cats	K AE T S
caught	K AO T
causing	K AO Z IH NG
cave	K EY V
cave	K EY W
ceiling	S IY L IH NG
cell	S EH L
cessed	S EH S D
chair	CH EY R
chance	CH AA N S
change	CH EY N JH
changed	CH EY N JH D
chasing	CH EY S IH NG
chasing	CH EY Z IH NG
check	CH EH K
checked	CH EH K D
cheese	CH IY Z
chief	CH IY F
child	CH AY L D
children	CH IH L D R EH N
chill	CH IH L
choice	CH OY S
choose	CH UW Z
choosen	CH UW Z EH N
chopped	CH AO P D
chosen	CH OW Z AH N
church	CH AH R CH
circle	S AH R K AH L
circles	S IH R K AH L S
circumstance	S AH R K AH M S T AH N S
city	S IH T IY
claim	K L EY M
clean	K L IY N
cleaning	K L IY N IH NG
clever	K L EH V AH R
clever	K L EH W AH R
cleverly	K L EH V AH R L IY
cleverly	K L EH W AH R L IY
cliff	K L IY F
climb	K L AY M B
climbed	K L AY M B D
clip	K L IH P
clock	K L AO K
close	K L OW Z
cloth	K L AO TH
clothe	K L OW DH
clothes	K L AO TH Z
clothes	K L OW DH Z
cloud	K L AW D
coat	K OW T
coaxed	K OW K S D
coconut	K OW K OW N AH T
coins	K AO IH N S
cold	K OW L D
colder	K OW L D AH R
coldest	K OW L D EH S T
collapsed	K OW L AE P S D
colour	K AH L AH R
colours	K AH L AH R S
combine	K AH M B AY N
combined	K AH M B AY N D
come	K AH M
comes	K AH M S
coming	K AH M IY NG
commenced	K AH M EH N S D
comment	K AH M EH N T
comments	K AH M EH N T S
commit	K AH M IH T
complained	K AH M P L EY N D
complaining	K AH M P L EY N IH NG
complaint	K AH M P L EY N T
complete	K AH M P L IY T
completed	K AH M P L IY T EH D
concentrate	K AO N S AH N T R EY T
concentrated	K AO N S AH N T R EY T EH D
concentration	K AO N S AH N T R EY SH AH N
confirm	K AH N F AH R M
confirmed	K AH N F AH R M D
considered	K AH N S IH D AH R D
consoled	K AH N S OW L D
constant	K AO N S T AH N T
consult	K AH N S AH L T
contest	K AO N T EH S T
continue	K AH N T IH N Y UW
continued	K AH N T IH N Y UW D
continuous	K AH N T IH N UH AH S
control	K AH N T R OW L
controlling	K AH N T R OW L IH NG
convenience	K AH N V IH N IH Y AH N S
convenience	K AH N W IH N IH Y AH N S
cook	K UH K
cool	K UW L
coolest	K UW L EH S T
cordially	K AO R D IH AH L IY
corner	K AO R N AH R
correct	K AH R EH K T
correctly	K AH R EH K T L IY
cost	K AO S T
costly	K AO S T L IY
could	K UH D
couldn't	K UH D AH N T
count	K AW N T
counted	K AW N T EH D
covered	K AH V AH R D
covered	K AH W AH R D
cow	K AW
cows	K AW Z
created	K R IY EY T EH D
creature	K R IY CH AH R
creature's	K R IY CH AH R S
creatures	K R IY CH AH R S
cried	K R AY D
crop	K R AO P
crops	K R AO P S
crossing	K R AO S IH NG
crunch	K R AH N CH
cry	K R AY
crying	K R AY NG
culprit	K AH L P R IH T
cut	K AH T
cute	K Y UW T
cutter	K AH T AH R
cycle	S AY K AH L
cycling	S AY K L IH NG
daawid	D AA W IH D
dad	D AE D
daily	D EY L IY
dainty	D EY N T IY
dance	D AA N S
danced	D AA N S D
danger	D EY N JH AH R
dangerous	D EY N JH AH R AH S
danny	D AE N IY
danny's	D AE N IY Z
dark	D AA R K
darkness	D AA R K N EH S
dates	D EY T S
daughter	D AO T AH R
david	D EY V IH D
david	D EY W IH D
david's	D EY V IH D S
david's	D EY V IH D Z
david's	D EY W IH D S
david's	D EY W IH D Z
day	D EY
days	D EY Z
dead	D EH D
dear	D IH AH R
death	D EY TH
decide	D IH S AY D
decided	D IH S AY D EH D
decision	D IH S IH JH AH N
decision	D IH S IH ZH AH N
declared	D IH K L EY R D
dee	D IY
deep	D IY P
deeper	D IY P AH R
deepesh	DH IH P EY SH
deepest	D IY P EH S T
defective	D IH F EH K T IH V
defective	D IH F EH K T IH W
defense	D IH F EH N S
delight	D IH L AY T
delighted	D IH L AY T EH D
demanded	D IH M AA N D EH D
den	D EH N
denny	D EH N IY
denzil	D EH N Z IH L
deserve	D IH Z AH R V
deserve	D IH Z AH R W
deserves	D IH Z AH R V Z
deserves	D IH Z AH R W Z
desire	D IH Z AY R
despite	D IH S P AY T
dezil	D EH Z IH L
diany	D AY N IY
did	D IH D
didn't	D IH D AH N T
die	D AY
died	D AY D
difference	D IH F R AH N S
different	D IH F R AH N T
differently	D IH F R AH N T L IY
difficult	D IH F IY K AH L T
difficulties	D IH F IY K AH L T IY Z
dim	D IH M
dimwit	D IH M W IH T
dinesh	DH IH N EY SH
dinesh's	DH IH N EY SH EH S
dinesh's	DH IH N EY SH S
dinner	D IH N AH R
dirty	D AH R T IY
disappear	D IH S AH P IH AH R
disappeared	D IH S AH P IH AH R D
disappearing	D IH S AH P IH AH R IH NG
discover	D IH S K AH V AH R
discover	D IH S K AH W AH R
discovery	D IH S K AH V AH R IY
discovery	D IH S K AH W AH R IY
dish	D IH SH
dismay	D IH S M EY
distance	D IH S T EH N S
disturb	D IH S T AH R B
dived	D AY V D
dived	D AY W D
divide	D IH V AY D
divide	D IH W AY D
divided	D IH V AY D EH D
divided	D IH W AY D EH D
do	D UW
doctor	D AO K T AH R
does	D AH Z
dog	D AO G
dogs	D AO G Z
doing	D UH IH NG
dollars	D AO L AH R S
don't	D OW N T
done	D AH N
donkey	D AO N K IY
donkey's	D AO N K IY Z
donkeys	D AO N K IY Z
doubtful	D AW T F UH L
down	D AW N
downstream	D AW N S T R IY M
dozed	D OW Z D
dragged	D R AE G D
drained	D R EY N D
drank	D R AE N K
draw	D R AO
drawee	D R AW IY
drawing	D R AW IH NG
drew	D R UW
drink	D R IH NG K
drinking	D R IH NG K IH NG
dropped	D R AO P D
drowning	D R AW N IH NG
drying	D R AA IH NG
drying	D R AY NG
duck	D AH K
due	D Y UW
dunked	D AH N K D
dusk	D AH S K
dying	D AY NG
each	IY CH
eagle	IY G AH L
ear	IH AH R
earlier	AH R L IY AH R
early	AH R L IY
earn	AH R N
easily	IY Z IY L IY
eat	IY T
eaten	IY T EH N
eating	IY T IH NG
eats	IY T S
effective	IH F EY K T IH V
effective	IH F EY K T IH W
egg	EH G
eggs	EH G Z
either	AY DH AH R
either	IY DH AH R
elephant	EH L IH F EH N T
else	EH L S
elsewhere	EH L S W EY R
embarrassed	EH M B AE R EH S D
emptied	EH M P T IY D
empty	EH M P T IY
encounter	EH N K AW N T AH R
end	EH N D
enemies	EH N EH M IY Z
enjoy	EH N JH AO Y
enough	IH N AH F
enraged	EH N R EY G D
enter	EH N T AH R
entered	EH N T AH R D
enthusiastically	EH N TH UH Z IH AE S T IH K AH L IY
entire	EH N T AY R
envious	EH N V IY AH S
envious	EH N W IY AH S
envy	EH N V IH
envy	EH N W IH
equal	IY K W AH L
escape	EH S K EY P
etc	EH K S EH K T R AA
europe	Y OW R AH P
europe	Y UH R OW P
even	IY V EH N
even	IY W EH N
evening	IY V N IH NG
evening	IY W N IH NG
ever	EH V AH R
ever	EH W AH R
ever-present	EH V AH R P R EH Z EH N T
ever-present	EH W AH R P R EH Z EH N T
every	EH V R IY
every	EH W R IY
everybody	EH V R IY B AH D IY
everybody	EH W R IY B AH D IY
everyday	EH V R IY D EY
everyday	EH W R IY D EY
everyone	EH V R IY W AH N
everyone	EH W R IY W AH N
everything	EH V R IY TH IH NG
everything	EH W R IY TH IH NG
everywhere	EH V R IY W EY R
everywhere	EH W R IY W EY R
ex	EH K S
exactly	EH G Z AE K T L IY
examined	EH G Z AE M IH N D
excellent	EH K S IH L EH N T
excited	EH K S AY T EH D
exclaimed	EH K S K L EY M D
exercise	EH K S AH R S AY Z
exercising	EH K S AH R S AY Z IH NG
exhausting	EH G Z AO S T IH NG
expect	EH K S P EH K T
expensive	EH K S P EH N S IH V
expensive	EH K S P EH N S IH W
experience	EH K S P IY R IH EH N S
experiences	EH K S P IY R IH EH N S EH S
experiments	EH K S P IY R IH M EH N T S
explain	EH K S P L EY N
explained	EH K S P L EY N D
explanation	EH K S P L AH N EY SH AH N
express	EH K S P R EH S
extend	EH K S T EH N D
extended	EH K S T EH N D EH D
eye	AA IY
eye	AA Y
eyes	AA IY Z
eyes	AA Y Z
eyesight	AA Y S AY T
face	F EY S
faces	F EY S EH S
facing	F EY S IH NG
fact	F AE K T
fail	F EY L
fair	F EY R
fall	F AO L
fallen	F AO L EH N
family	F AE M IH L IY
family	F AE M L IY
fanciest	F AE N S IY EH S T
far	F AA R
farm	F AA R M
farmer	F AA R M AH R
farmer's	F AA R M AH R S
farmers	F AA R M AH R S
farms	F AA R M S
fast	F AA S T
faster	F AA S T AH R
fat	F AE T
father	F AA DH AH R
fathers	F AA DH AH R S
fatty	F AE T IY
favor	F EY V AH R
favor	F EY W AH R
fed	F EH D
fee	F IY
feed	F IY D
feel	F IY L
feels	F IY L S
feet	F IY T
fell	F EH L
felt	F EH L T
fence	F EH N S
ferocious	F EY R OW SH AH S
ferocious	F EY R OW SH Y AH S
ferried	F EH R IY D
fetch	F EH CH
few	F Y UW
field	F IY L D
fields	F IY L D S
fight	F AY T
fill	F IH L
filled	F IH L D
finally	F AY N AH L IY
find	F AY N D
fine	F AY N
finger	F IH NG G AH R
fingers	F IH NG G AH R S
finish	F IH N IH SH
fired	F AY R D
firm	F AH R M
first	F AH R S T
fish	F IH SH
flapping	F L AE P IH NG
flat	F L AE T
fled	F L EH D
flew	F L UW
flogged	F L AO G D
flow	F L OW
flows	F L OW Z
fog	F AO G
follow	F AO L OW
folly	F AO L IY
food	F UW D
fool	F UW L
foolish	F UW L IH SH
foolishness	F UW L IH SH N EH S
foot	F UH T
footing	F UH T IH NG
foots	F UH T S
for	F AO R
forehead	F OW R HH EH D
forest	F AO R EH S T
forget	F AH R G EH T
forget	F AO R G EH T
form	F AO R M
found	F AW N D
fox	F AO K S
fox's	F AO K S EH S
frantically	F R AE N T IH K AH L IY
fred	F R EH D
freddie	F R EH D IY
free	F R IY
freed	F R IY D
fresh	F R EH SH
frey	F R EY
friend	F R EH N D
friends	F R EH N D S
frog	F R AO G
frogs	F R AO G Z
from	F R AO M
front	F R AH N T
fruit	F R UW T
frustrate	F R AH S T R EY T
frustrated	F R AH S T R EY T EH D
full	F UH L
fuller	F UH L AH R
fully	F UH L IY
fun	F AH N
funny	F AH N IY
gained	G EY N D
games	G EY M S
garden	G AA R D AH N
gardens	G AA R D AH N S
garry	G AE R IY
gasped	G AE S P D
gathered	G AE DH AH R D
gave	G EY V
gave	G EY W
gay	G EY
generous	JH EH N R AH S
george	JH AO R JH
germs	JH AH R M S
get	G EH T
gets	G EY T S
getting	G EH T IH NG
ghost	G HH OW S T
ghost	G OW S T
gift	G IH F T
gigantic	JH AY G AE N T IH K
girl	G AH R L
give	G IH V
give	G IH W
given	G IH V EH N
given	G IH W EH N
giving	G IH V IH NG
giving	G IH W IH NG
gladly	G L AE D L IY
glass	G L AA S
global	G L OW B AH L
go	G OW
goal	G OW L
goat	G OW T
goats	G OW T S
gobbled	G AO B AH L D
goes	G OW Z
going	G OW IH NG
gold	G OW L D
golden	G OW L D EH N
gone	G AO N
good	G UH D
goods	G UW D S
goods	G UW D Z
goose	G UW S
got	G AO T
gradually	G R AE JH UH L IY
grass	G R AA S
grassed	G R AA S D
graveyard	G R EY V Y AA R D
graveyard	G R EY W Y AA R D
grazed	G R EY Z D
great	G R EY T
greatness	G R EY T N EH S
greed	G R IY D
greedy	G R IY D IY
greener	G R IY N AH R
greens	G R IY N S
greens	G R IY N Z
greeted	G R IY T EH D
grey	G R EY
grief	G R IY F
groped	G R OW P D
ground	G R AW N D
group	G R UH P
grouped	G R UH P D
grove	G R OW V
grove	G R OW W
grow	G R OW
growing	G R OW IH NG
grown	G R OW N
guard	G AA R D
guarding	G AA R D IH NG
guilt	G IH L T
gun	G AH N
guts	G AH T S
ha	HH AA
habit	HH AE B IH T
had	HH AE D
hair	HH EY R
hairs	HH EY R S
hairs	HH EY R Z
half	HH AA F
hammer	HH AE M AH R
hammered	HH AE M AH R D
hand	HH AE N D
handkerchief	HH AE N K AH R CH IY F
handle	HH AE N D AH L
hands	HH AE N D S
hang	HH AE NG
happened	HH AE P EH N D
happy	HH AE P IY
hard	HH AA R D
harder	HH AA R D AH R
hare	HH EY R
hares	HH EY R S
hari	HH AH R IY
harm	HH AA R M
harry	HH AE R IY
has	HH AE Z
hat	HH AE T
hate	HH EY T
have	HH AE V
have	HH AE W
haven't	HH AE V AH N T
haven't	HH AE W AH N T
having	HH AE V IH NG
having	HH AE W IH NG
hawk	HH AO K
he	HH IY
head	HH EH D
head-stones	HH EH D S T OW N S
headstones	HH EH D S T OW N S
hear	HH IH AH R
hearing	HH IH AH R IH NG
heartily	HH AA R T IH L IY
heavier	HH EH V IY AH R
heavier	HH EH W IY AH R
heavy	HH EH V IY
heavy	HH EH W IY
held	HH EH L D
hell	HH EH L
hello	HH EY L OW
help	HH EH L P
helped	HH EH L P D
hence	HH EH N S
henry	HH EH N R IY
hens	HH EH N S
hens	HH EH N Z
her	HH AH R
here	HH IY AH R
hey	HH EY
hibernate	HH AY B AH R N EY T
hibernating	HH AY B AH R N EY T IH NG
hid	HH IH D
hide	HH AY D
hiding	HH AY D IH NG
high	HH AY
hill	HH IH L
him	HH IH M
himself	HH IH M S EH L F
his	HH IH Z
hiss	HH IH S
hit	HH IH T
hodjaa	HH OW D JH AA
hodjaa	HH UH D JH AA
hold	HH OW L D
holding	HH OW L D IH NG
hole	HH OW L
holes	HH OW L S
hollow	HH AO L OW
home	HH OW M
homework	HH OW M W AH R K
honor	AO N AH R
hook	HH UW K
horror	HH AO R AH R
horse	HH AO R S
host	HH OW S T
hot	HH AO T
hotel	HH OW T EH L
hotter	HH AO T AH R
hours	AA W AH R S
house	HH AW S
how	HH AW
however	HH AW EH V AH R
however	HH AW EH W AH R
huge	HH Y UW JH
hujja	HH UH JH JH AA
humiliate	HH Y UW M IH L IY EY T
hun	HH AH N
hundred	HH AH N D R EH D
hungry	HH AH NG R IY
hunt	HH AH N T
hunter	HH AH N T AH R
hunters	HH AH N T AH R S
hurry	HH AH R IY
hurt	HH AH R T
husband	HH AH Z B AH N D
hut	HH AH T
i	AY
i'll	AY L
i'll	AY W IH L
i'm	AY AE M
idea	AY D IY Y AA
ideas	AY D IY Y AA Z
if	IH F
ignored	IH G N OW R D
ill	IH L
immediately	IH M IY D IY EY T L IY
immediately	IH M IY JH EY T L IY
important	IH M P AO R T AH N T
impotent	IH M P OW T EH N T
improve	IH M P R UW V
improve	IH M P R UW W
improves	IH M P R UW V Z
improves	IH M P R UW W Z
in	IH N
inch	IH N CH
including	IH N K L UW D IH NG
indeed	IH N D IY D
india	IH N D IY AA
india	IH N D Y AA
injection	IH N JH EH K SH AH N
injections	IH N JH EH K SH AH N S
injured	IH N JH AH R D
injury	IH N JH AH R IY
innocent	IH N AH S EH N T
innocent	IH N OW S EH N T
innocently	IH N AH S EH N T L IY
innocently	IH N OW S EH N T L IY
inside	IH N S AY D
insides	IH N S AY D S
instead	IH N S T EH D
insurance	IH N SH Y AO R AH N S
intelligent	IH N T EH L IH JH EH N T
interiors	IH N T IY R IH AH R S
into	IH N T UW
invited	IH N V AY T EH D
invited	IH N W AY T EH D
is	IH Z
it	IH T
it's	IH T S
item	AY T EH M
items	AY T EH M S
its	IH T S
itself	IH T S EH L F
james	JH EY M S
janes	JH EY N S
jealous	JH EH L AH S
jenny	JH EH N IY
jerry	JH EH R IY
jimmy	JH IH M IY
job	JH AO B
jobs	JH AO B Z
john	JH AO N
joking	JH OW K IH NG
journey	JH AH R N IY
judge	JH AH JH
jumbo	JH AH M B OW
jump	JH AH M P
jumped	JH AH M P D
jungle	JH AH NG G AH L
just	JH AH S T
justice	JH AH S T IH S
karan	K AH R AH N
keep	K IY P
keeping	K IY P IH NG
keeps	K IY P S
kept	K EH P T
kicked	K IH K D
kill	K IH L
killed	K IH L D
kind	K AY N D
kindly	K AY N D L IY
king	K IH NG
kingship	K IH NG SH IH P
kitchen	K IH CH EH N
knew	N Y UW
knife	N AY F
knocks	N AO K S
know	N OW
lab	L AE B
laid	L EY D
landing	L AE N D IH NG
large	L AA R JH
larger	L AA R JH AH R
last	L AA S T
late	L EY T
later	L EY T AH R
laugh	L AA F
laughed	L AA F D
laughing	L AA F IH NG
launch	L AO N CH
law	L AO
lay	L EY
lazy	L EY Z IY
leaf	L IY F
learn	L AH R N
learned	L AH R N D
learnt	L AH R N T
least	L IY S T
leave	L IY V
leave	L IY W
leaves	L IY V Z
leaves	L IY W Z
leaving	L IY V IH NG
leaving	L IY W IH NG
left	L EH F T
legs	L EH G Z
less	L EH S
lesson	L EH S AH N
let	L EH T
let's	L EH T S
lets	L EH T S
leuk	L EY UH K
lie	L AY
life	L AY F
lift	L IH F T
light	L AY T
lighter	L AY T AH R
lights	L AY T S
like	L AY K
likes	L AY K S
likewise	L AY K W AY Z
limbs	L IH M B Z
lion	L AA Y AH N
lions	L AA Y AH N S
lions	L AA Y AH N Z
listen	L IH S AH N
listen	L IH S EH N
listening	L IH S AH N IH NG
listening	L IH S N IH NG
little	L IH T IH L
little	L IH T L
live	L IH V
live	L IH W
lived	L IH V D
lived	L IH W D
living	L IH V IH NG
living	L IH W IH NG
lizard	L IH Z AH R D
load	L OW D
loaded	L OW D EH D
lonely	L OW N L IY
long	L AO NG
look	L UH K
looked	L UH K D
looking	L UH K IH NG
loose	L UW Z
lose	L UW Z
loss	L AO S
lost	L AO S T
lot	L AO T
lots	L AO T S
loud	L AW D
loudly	L AW D L IY
love	L AH V
love	L AH W
lovely	L AH V L IY
lovely	L AH W L IY
low	L OW
luckily	L AH K IH L IY
lucky	L AH K IY
lucy	L UW S IY
lunch	L AH N CH
lying	L AY IH NG
lying	L AY NG
made	M EY D
magician	M AE JH IH SH IY AH N
magnifying	M AE G N IH F AA Y IH NG
magnifying	M AE G N IH F AY NG
main	M EY N
make	M EY K
making	M EY K IH NG
man	M AE N
man's	M AE N S
manage	M AE N EH JH
managed	M AE N EH JH D
manager	M AE N EY JH AH R
mango	M AE NG G OW
mangoes	M AE NG G OW Z
many	M EH N IY
market	M AA R K EH T
marketplace	M AA R K EH T P L EY S
master	M AA S T AH R
master's	M AA S T AH R S
mate	M EY T
mater	M EY T AH R
matter	M AE T AH R
may	M EY
me	M IY
mean	M IY N
meat	M IY T
meet	M IY T
meeting	M IY T IH NG
melt	M EH L T
member	M EH M B AH R
members	M EH M B AH R S
members	M EH M B AH R Z
men	M EH N
merchant	M AH R CH EH N T
merciless	M AH R S IH L EH S
merrily	M EH R IH L IY
met	M EH T
middle	M IH D AH L
might	M AH IH T
might	M AY T
mighty	M AY T IY
miles	M AY L S
milk	M IH L K
mills	M IH L S
mills	M IH L Z
mind	M AY N D
minister	M IH N IH S T AH R
ministers	M IH N IH S T AH R S
minute	M AY N Y UW TH
minute	M IH N IH T
minutes	M IH N IH T S
miss	M IH S
missed	M IH S D
missus	M IH S AH S
missus	M IH S AH Z
mistakes	M IH S T EY K S
mister	M IH S T AH R
mom	M AO M
moment	M OW M EH N T
money	M AH N IY
monkey	M AH N K IY
monster	M AO N S T AH R
moon	M UW N
more	M OW R
moreover	M OW R OW V AH R
moreover	M OW R OW W AH R
morning	M AO R N IH NG
mosquito	M AH S K IY T OW
most	M OW S T
mother	M AH DH AH R
motion	M OW SH AH N
move	M UW V
move	M UW W
movement	M UW V M EH N T
movement	M UW W M EH N T
movie	M UW V IY
movie	M UW W IY
mr	M IH S T AH R
mrs	M IH S EH S
mrs	M IH S IH Z
much	M AH CH
mud	M AH D
muddy	M AH D IY
must	M AH S T
my	M AY
myself	M AY S EH L F
nail	N EY L
nails	N EY L S
name	N EY M
named	N EY M D
names	N EY M S
nap	N AE P
narrated	N AE R EY T EH D
naseer	N AH S IY R
naseer's	N AH S IY R S
nashiruddin	N AH SH IH R UH DH DH IH N
nasruddin	N AH S R UH DH IY N
naughty	N AO T IY
near	N IH AH R
nearest	N IH AH R EH S T
necessary	N EH S EH S AH R IY
neck	N EH K
nee	N IY
need	N IY D
needed	N IY D EH D
needs	N IY D S
neighbor	N EY B AH R
neighbor's	N EY B AH R Z
neighbors	N EY B AH R Z
neighbour	N EY B AH R
neighbour's	N EY B AH R Z
neighbours	N EY B AH R Z
neither	N AY DH AH R
neither	N IY DH AH R
nest	N EH S T
net	N EH T
nets	N EH T S
never	N EH V AH R
never	N EH W AH R
new	N Y UW
next	N EH K S T
nice	N AY S
night	N AY T
nine	N AY N
ninety	N AY N T IY
no	N OW
nobody	N OW B AH D IY
noise	N OY Z
noises	N OY Z EH S
none	N AH N
nor	N AO R
not	N AO T
notebook	N OW T B UH K
nothing	N AH TH IH NG
notice	N OW T IH S
noticed	N OW T IH S D
now	N AA UH
now	N AW
number	N AH M B AH R
nurse	N AH R S
nuts	N AH T S
o'clock	OW K L AO K
obesity	OW B EY S IH T IY
ocean	OW SH AH N
october	AO K T OW B AH R
of	AO F
off	AO F
offense	AO F EH N S
offered	AO F AH R D
oh	OW HH
